folio,genero,rango_edad,alcaldia,turno_simulado,sede_asignada_simulada,discapacidad,lengua_indigena,comunidad_indigena,acceso_internet,tiene_beca,estatus_registro
REG26-085508,Hombre,26-30,CUAUHTÉMOC,Matutino,117_CO_CUH - ROCKDRIGO GONZÁLEZ,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-085520,Hombre,31-35,CUAUHTÉMOC,Único,034_CO_CUH - ZONA ROSA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-085550,Mujer,36-40,MIGUEL HIDALGO,Matutino,177_PT_MIH - CASA AMARILLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085562,Hombre,31-35,VENUSTIANO CARRANZA,Vespertino,279_CO_VCA - TEPITO MORELOS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085583,Mujer,46-50,IZTAPALAPA,Matutino,215_IZ_IZP - APATLACO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085595,Mujer,21-25,IZTAPALAPA,Matutino,075_IZ_IZP - SANTA CRUZ MEYEHUALCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085598,Mujer,21-25,COYOACÁN,Matutino,084_SP_COY - EL RELOJ,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-085637,Mujer,36-40,COYOACÁN,Matutino,047_SP_COY - JESUS MALDONADO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085658,Hombre,26-30,GUSTAVO A. MADERO,Único,163_NT_GAM - GERTRUDIS SÁNCHEZ,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085682,Hombre,16-20,GUSTAVO A. MADERO,Vespertino,097_NT_GAM - NUEVA ATZACOALCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085700,Hombre,31-35,CUAUHTÉMOC,Matutino,056_CO_CUH - GLORIETA DE LOS INSURGENTES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085721,Mujer,41-45,CUAUHTÉMOC,Vespertino,087_CO_CUH - BOLEO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085724,Mujer,31-35,IZTACALCO,Matutino,"213_CO_IZT - FERNANDA ""LA CHATA"" CAMPA",No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-085727,Mujer,16-20,TLALPAN,Vespertino,039_SP_TLP - TIZIMÍN,Sí,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085733,Mujer,31-35,IZTAPALAPA,Vespertino,175_IZ_IZP - PLAZA DE LOS JÓVENES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085748,Mujer,31-35,IZTAPALAPA,Matutino,051_IZ_IZP - PALMITAS,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-085778,Mujer,31-35,GUSTAVO A. MADERO,Vespertino,055_NT_GAM - CENTENARIO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085805,Hombre,21-25,ÁLVARO OBREGÓN,Matutino,121_PT_AOB - GÓMEZ FARÍAS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085832,Hombre,36-40,IZTAPALAPA,Vespertino,011_IZ_IZP - ACAHUALTEPEC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085835,Hombre,26-30,IZTAPALAPA,Vespertino,012_IZ_IZP - GABRIELA MISTRAL,No,No,No,Sí,No,Aceptado
REG26-085844,Hombre,36-40,VENUSTIANO CARRANZA,Vespertino,089_CO_VCA - FRAY SERVANDO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085847,Mujer,31-35,AZCAPOTZALCO,Vespertino,048_NT_AZC - SAN PEDRO XALPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085856,Hombre,36-40,AZCAPOTZALCO,Matutino,194_NT_AZC - TEPANTONGO,No,No,No,Sí,No,Aceptado
REG26-085862,Mujer,31-35,IZTAPALAPA,Matutino,065_IZ_IZP - TETECÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085871,Mujer,21-25,TLALPAN,Matutino,277_SP_TLP - DAVID CERVANTES,No,No,No,Sí,No,Aceptado
REG26-085877,Mujer,51+,AZCAPOTZALCO,Vespertino,048_NT_AZC - SAN PEDRO XALPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085892,Mujer,31-35,IZTAPALAPA,Vespertino,224_IZ_IZP - LOMAS DE LA ESTANCIA,No,No,Sí,Sí,No,Aceptado (pendiente de validación)
REG26-085898,Mujer,26-30,GUSTAVO A. MADERO,Matutino,134_NT_GAM - ALI CHUMACERO,No,No,No,Sí,No,Aceptado
REG26-085919,Hombre,26-30,VENUSTIANO CARRANZA,Matutino,123_CO_VCA - CANDELARIA,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-085946,Mujer,31-35,XOCHIMILCO,Matutino,155_SU_XOC - DOLORES OLMEDO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085958,Hombre,26-30,LA MAGDALENA CONTRERAS,Vespertino,232_SP_MAC - JUVENTINO ROSAS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-085961,Mujer,21-25,MILPA ALTA,Vespertino,049_SU_MIA - XALTIPAC,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-085964,Mujer,31-35,COYOACÁN,Matutino,304_SP_COY - EL PARIAN,No,No,No,Sí,No,Aceptado
REG26-085985,Mujer,16-20,TLALPAN,Vespertino,039_SP_TLP - TIZIMÍN,Sí,No,No,Sí,No,Aceptado
REG26-085988,Mujer,31-35,IZTAPALAPA,Vespertino,174_IZ_IZP - PARQUE PATOLLI,No,No,No,Sí,Sí,Aceptado
REG26-086000,Hombre,36-40,AZCAPOTZALCO,Matutino,194_NT_AZC - TEPANTONGO,No,No,No,Sí,No,Aceptado
REG26-086003,Hombre,31-35,COYOACÁN,Matutino,101_SP_COY - LA ESCUELITA,No,No,No,Sí,No,Aceptado
REG26-086036,Mujer,26-30,ÁLVARO OBREGÓN,Vespertino,004_PT_AOB - EL CAPULÍN,No,No,No,Sí,No,Aceptado
REG26-086039,Hombre,36-40,IZTAPALAPA,Vespertino,140_IZ_IZP - REPÚBLICA FEDERAL,No,No,No,Sí,No,Aceptado
REG26-086144,Mujer,26-30,IZTAPALAPA,Vespertino,138_IZ_IZP - EL MOLINO TEZONCO,No,No,No,No,No,Aceptado
REG26-086159,Mujer,46-50,IZTAPALAPA,Matutino,216_IZ_IZP - SANTA MARÍA AZTAHUACÁN II,No,No,No,Sí,No,Aceptado
REG26-086192,Mujer,31-35,IZTACALCO,Matutino,059_CO_IZT - ROJO GÓMEZ,No,No,No,Sí,No,Aceptado
REG26-086201,Hombre,31-35,TLALPAN,Vespertino,184_SP_TLP - SAN MIGUEL,No,No,No,Sí,No,Aceptado
REG26-086228,Hombre,21-25,TLALPAN,Vespertino,277_SP_TLP - DAVID CERVANTES,No,No,No,Sí,Sí,Aceptado
REG26-086234,Hombre,51+,IZTAPALAPA,Vespertino,270_IZ_IZP - SAN JUAN JOYA,No,No,No,No,No,Aceptado
REG26-086243,Mujer,31-35,VENUSTIANO CARRANZA,Vespertino,152_CO_VCA - PELÓN OSUNA,No,No,No,Sí,No,Aceptado
REG26-086252,Hombre,31-35,IZTAPALAPA,Vespertino,140_IZ_IZP - REPÚBLICA FEDERAL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086261,Mujer,21-25,CUAUHTÉMOC,Matutino,132_CO_CUH - MARIANO ABASOLO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086273,Mujer,26-30,AZCAPOTZALCO,Matutino,192_NT_AZC - RINI TEMPLETON,No,No,No,Sí,No,Aceptado
REG26-086288,Mujer,41-45,VENUSTIANO CARRANZA,Vespertino,249_CO_VCA - 20 DE NOVIEMBRE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086339,Mujer,31-35,IZTAPALAPA,Vespertino,138_IZ_IZP - EL MOLINO TEZONCO,No,No,No,Sí,No,Aceptado
REG26-086354,Hombre,21-25,GUSTAVO A. MADERO,Vespertino,167_NT_GAM - REVOLUCIÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086369,Hombre,41-45,TLALPAN,Vespertino,150_SP_TLP - TOPILEJO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086378,Mujer,31-35,TLAHUAC,Matutino,145_SU_TLH - COCODRILO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-086399,Mujer,16-20,TLALPAN,Matutino,243_SP_TLP - PEPE BERBERAN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086411,Mujer,26-30,TLALPAN,Vespertino,150_SP_TLP - TOPILEJO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086420,Hombre,21-25,TLALPAN,Vespertino,277_SP_TLP - DAVID CERVANTES,No,No,No,Sí,Sí,Aceptado
REG26-086426,Hombre,31-35,XOCHIMILCO,Matutino,255_SU_XOC - SAN MARCOS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086474,Hombre,16-20,TLALPAN,Vespertino,150_SP_TLP - TOPILEJO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086537,Mujer,41-45,IZTAPALAPA,Vespertino,053_IZ_IZP - RENOVACIÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086543,Mujer,26-30,CUAUHTÉMOC,Matutino,132_CO_CUH - MARIANO ABASOLO,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-086546,Mujer,36-40,IZTAPALAPA,Vespertino,227_IZ_IZP - SAN LORENZO TEZONCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086630,Mujer,26-30,GUSTAVO A. MADERO,Matutino,116_NT_GAM - EL VIVERO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086633,Mujer,31-35,XOCHIMILCO,Matutino,060_SU_XOC - 16 DE SEPTIEMBRE,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-086729,Mujer,31-35,GUSTAVO A. MADERO,Matutino,134_NT_GAM - ALI CHUMACERO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086780,Mujer,31-35,IZTAPALAPA,Matutino,100_IZ_IZP - CONSTITUCIÓN DE 1917,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086807,Hombre,41-45,CUAUHTÉMOC,Matutino,117_CO_CUH - ROCKDRIGO GONZÁLEZ,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-086822,Mujer,31-35,IZTAPALAPA,Matutino,052_IZ_IZP - SAN MIGUEL TEOTONGO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087017,Mujer,31-35,XOCHIMILCO,Matutino,029_SU_XOC - SANTA CECILIA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087047,Mujer,21-25,ÁLVARO OBREGÓN,Matutino,258_PT_AOB - PILOTO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087080,Hombre,36-40,LA MAGDALENA CONTRERAS,Vespertino,017_SP_MAC - HUAYATLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087089,Hombre,41-45,CUAUHTÉMOC,Matutino,014_CO_CUH - JACOBO ÁRBENZ,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087101,Hombre,51+,GUSTAVO A. MADERO,Vespertino,008_NT_GAM - TLALPEXCO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087116,Hombre,36-40,TLALPAN,Matutino,098_SP_TLP - LA JOYA,Sí,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087134,Mujer,21-25,XOCHIMILCO,Matutino,028_SU_XOC - SAN LUCAS XOCHIMANCA,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-087146,Hombre,26-30,CUAJIMALPA DE MORELOS,Matutino,158_PT_CUM - CONTADERO,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-087155,Hombre,31-35,GUSTAVO A. MADERO,Matutino,113_NT_GAM - LA MUELA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087170,Mujer,26-30,IZTAPALAPA,Vespertino,112_IZ_IZP - TEPALCATES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087179,Mujer,26-30,ÁLVARO OBREGÓN,Vespertino,188_PT_AOB - PLATEROS I-EDUARDO DEL RIO “RIUS”,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087182,Mujer,31-35,IZTACALCO,Matutino,"213_CO_IZT - FERNANDA ""LA CHATA"" CAMPA",No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087185,Hombre,26-30,MILPA ALTA,Matutino,179_SU_MIA - SAN PABLO OZTOTEPEC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087224,Hombre,26-30,TLAHUAC,Vespertino,045_SU_TLH - PAULO FREIRÉ,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087227,Hombre,51+,CUAUHTÉMOC,Vespertino,013_CO_CUH - FRIDA KAHLO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087233,Hombre,31-35,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087242,Mujer,31-35,COYOACÁN,Único,022_SP_COY - JOSE DE MOLINA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087263,Mujer,31-35,COYOACÁN,Matutino,261_SP_COY - CARMEN SERDÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087266,Mujer,21-25,TLALPAN,Matutino,098_SP_TLP - LA JOYA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087272,Mujer,41-45,XOCHIMILCO,Matutino,252_SU_XOC - BODOQUEPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087287,Hombre,41-45,XOCHIMILCO,Matutino,028_SU_XOC - SAN LUCAS XOCHIMANCA,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-087314,Hombre,36-40,IZTAPALAPA,Matutino,215_IZ_IZP - APATLACO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087317,Mujer,46-50,GUSTAVO A. MADERO,Vespertino,265_NT_GAM - CHALMA DE GUADALUPE,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087359,Hombre,41-45,AZCAPOTZALCO,Vespertino,061_NT_AZC - LA NARANJA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087380,Mujer,46-50,GUSTAVO A. MADERO,Vespertino,265_NT_GAM - CHALMA DE GUADALUPE,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087398,Mujer,31-35,VENUSTIANO CARRANZA,Vespertino,152_CO_VCA - PELÓN OSUNA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087401,Mujer,41-45,COYOACÁN,Matutino,101_SP_COY - LA ESCUELITA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087431,Hombre,16-20,XOCHIMILCO,Matutino,155_SU_XOC - DOLORES OLMEDO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087437,Mujer,36-40,GUSTAVO A. MADERO,Matutino,210_NT_GAM - PROGRESO NACIONAL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087506,Mujer,46-50,TLALPAN,Matutino,098_SP_TLP - LA JOYA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087515,Hombre,21-25,IZTAPALAPA,Vespertino,076_IZ_IZP - PURÍSIMA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087527,Mujer,21-25,ÁLVARO OBREGÓN,Vespertino,004_PT_AOB - EL CAPULÍN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087551,Hombre,31-35,IZTAPALAPA,Matutino,216_IZ_IZP - SANTA MARÍA AZTAHUACÁN II,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087557,Hombre,21-25,TLALPAN,Matutino,098_SP_TLP - LA JOYA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087578,Mujer,41-45,IZTAPALAPA,Vespertino,222_IZ_IZP - GUELATAO,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-087605,Hombre,51+,GUSTAVO A. MADERO,Vespertino,136_NT_GAM - SAN FELIPE DE JESÚS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087629,Mujer,31-35,GUSTAVO A. MADERO,Matutino,113_NT_GAM - LA MUELA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087635,Mujer,36-40,GUSTAVO A. MADERO,Vespertino,206_NT_GAM - MARTÍN CARRERA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087638,Mujer,51+,IZTAPALAPA,Vespertino,142_IZ_IZP - VALLE DE LUCES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087647,Mujer,46-50,IZTAPALAPA,Vespertino,064_IZ_IZP - NOGAL,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087653,Mujer,16-20,MIGUEL HIDALGO,Matutino,178_PT_MIH - OTHÓN SALAZAR,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087683,Hombre,16-20,TLALPAN,Vespertino,241_SP_TLP - AMPARO OCHOA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087722,Hombre,16-20,XOCHIMILCO,Matutino,029_SU_XOC - SANTA CECILIA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087725,Mujer,36-40,IZTAPALAPA,Vespertino,175_IZ_IZP - PLAZA DE LOS JÓVENES,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087740,Hombre,21-25,CUAJIMALPA DE MORELOS,Único,291_PT_CUM - CUAJIMALPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087746,Mujer,36-40,GUSTAVO A. MADERO,Vespertino,206_NT_GAM - MARTÍN CARRERA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087749,Hombre,41-45,MIGUEL HIDALGO,Matutino,178_PT_MIH - OTHÓN SALAZAR,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-087755,Mujer,26-30,LA MAGDALENA CONTRERAS,Vespertino,017_SP_MAC - HUAYATLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087761,Hombre,21-25,GUSTAVO A. MADERO,Matutino,161_NT_GAM - CUCHILLA DEL TESORO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087773,Mujer,21-25,IZTAPALAPA,Vespertino,175_IZ_IZP - PLAZA DE LOS JÓVENES,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-087782,Mujer,16-20,ÁLVARO OBREGÓN,Matutino,258_PT_AOB - PILOTO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087800,Hombre,46-50,IZTAPALAPA,Matutino,228_IZ_IZP - URSULO GALVAN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087812,Hombre,51+,IZTAPALAPA,Vespertino,074_IZ_IZP - ESCUADRÓN 201,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087818,Hombre,26-30,AZCAPOTZALCO,Matutino,194_NT_AZC - TEPANTONGO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087824,Mujer,21-25,IZTAPALAPA,Vespertino,228_IZ_IZP - URSULO GALVAN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087839,Hombre,16-20,AZCAPOTZALCO,Vespertino,048_NT_AZC - SAN PEDRO XALPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087863,Mujer,21-25,GUSTAVO A. MADERO,Vespertino,167_NT_GAM - REVOLUCIÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087911,Mujer,41-45,IZTAPALAPA,Matutino,266_IZ_IZP - EJERCITO DE ORIENTE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-087926,Mujer,16-20,IZTAPALAPA,Matutino,218_IZ_IZP - CALMECAC,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087932,Hombre,21-25,COYOACÁN,Único,022_SP_COY - JOSE DE MOLINA,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-087935,Mujer,16-20,IZTAPALAPA,Matutino,226_IZ_IZP - SAN ANDRÉS TETEPILCO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-087956,Hombre,21-25,IZTAPALAPA,Vespertino,224_IZ_IZP - LOMAS DE LA ESTANCIA,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-087974,Mujer,36-40,GUSTAVO A. MADERO,Único,163_NT_GAM - GERTRUDIS SÁNCHEZ,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-088007,Mujer,36-40,MILPA ALTA,Vespertino,049_SU_MIA - XALTIPAC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088052,Mujer,46-50,ÁLVARO OBREGÓN,Vespertino,044_PT_AOB - LOMAS DE LA ERA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088058,Mujer,26-30,TLALPAN,Vespertino,039_SP_TLP - TIZIMÍN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088088,Mujer,46-50,XOCHIMILCO,Matutino,154_SU_XOC - AHUALAPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088109,Hombre,16-20,TLALPAN,Vespertino,039_SP_TLP - TIZIMÍN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088112,Mujer,51+,GUSTAVO A. MADERO,Único,208_NT_GAM - ARAGÓN II,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088115,Mujer,36-40,IZTAPALAPA,Matutino,272_IZ_IZP - ZACATEPEC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088136,Mujer,46-50,AZCAPOTZALCO,Vespertino,048_NT_AZC - SAN PEDRO XALPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088142,Mujer,46-50,GUSTAVO A. MADERO,Matutino,198_NT_GAM - AMPLIACIÓN PROVIDENCIA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088145,Mujer,31-35,IZTAPALAPA,Vespertino,175_IZ_IZP - PLAZA DE LOS JÓVENES,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-088163,Mujer,36-40,IZTAPALAPA,Matutino,088_IZ_IZP - EMILIO ROSAS,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088166,Hombre,46-50,GUSTAVO A. MADERO,Vespertino,212_NT_GAM - VILLA DE ARAGÓN,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-088175,Hombre,26-30,IZTAPALAPA,Matutino,287_IZ_IZP - ÁLVARO OBREGÓN,No,No,Sí,No,No,Aceptado (pendiente de validación)
REG26-088205,Hombre,36-40,LA MAGDALENA CONTRERAS,Matutino,229_SP_MAC - MAGDALENA ATLITIC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088214,Mujer,31-35,TLAHUAC,Matutino,086_SU_TLH - MURCIÉLAGO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088235,Hombre,51+,GUSTAVO A. MADERO,Matutino,265_NT_GAM - CHALMA DE GUADALUPE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088262,Mujer,36-40,XOCHIMILCO,Vespertino,187_SU_XOC - SAN LORENZO ATEMOAYA,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-088265,Mujer,51+,IZTAPALAPA,Vespertino,012_IZ_IZP - GABRIELA MISTRAL,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-088268,Hombre,31-35,XOCHIMILCO,Matutino,033_SU_XOC - SANTIAGO TULYEHUALCO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088271,Mujer,26-30,XOCHIMILCO,Matutino,154_SU_XOC - AHUALAPA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088277,Mujer,21-25,IZTAPALAPA,Matutino,268_IZ_IZP - EJÉRCITO CONSTITUCIONALISTA,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-088295,Mujer,31-35,MILPA ALTA,Matutino,181_SU_MIA - SAN JUAN TEPENAHUAC,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088304,Hombre,26-30,TLALPAN,Matutino,240_SP_TLP - METROPOLITANA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088310,Mujer,41-45,IZTACALCO,Matutino,031_CO_IZT - PAQUITA CALVO ZAPATA,No,Sí,Sí,Sí,Sí,Aceptado (pendiente de validación)
REG26-088319,Hombre,16-20,ÁLVARO OBREGÓN,Matutino,108_PT_AOB - CHAMONTOYA,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-088328,Mujer,31-35,AZCAPOTZALCO,Matutino,193_NT_AZC - VIRGILIO CABALLERO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088331,Mujer,36-40,MIGUEL HIDALGO,Matutino,289_PT_MIH - TACUBAYA- NAHUI OLLIN,No,Sí,Sí,Sí,No,Aceptado (pendiente de validación)
REG26-088337,Hombre,51+,IZTACALCO,Matutino,185_CO_IZT - SANTA ANITA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088343,Mujer,31-35,CUAUHTÉMOC,Vespertino,093_CO_CUH - CHABACANO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088355,Mujer,51+,IZTAPALAPA,Único,256_IZ_IZP - VIVERO NEZAHUALCÓYOTL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088361,Hombre,46-50,GUSTAVO A. MADERO,Matutino,134_NT_GAM - ALI CHUMACERO,Sí,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088364,Hombre,41-45,IZTAPALAPA,Matutino,223_IZ_IZP - LA COMUNA IZTAPALAPA,No,No,Sí,Sí,Sí,Aceptado (pendiente de validación)
REG26-088367,Hombre,16-20,CUAUHTÉMOC,Vespertino,093_CO_CUH - CHABACANO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088373,Mujer,36-40,ÁLVARO OBREGÓN,Vespertino,105_PT_AOB - OLIVAR DEL CONDE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088379,Mujer,41-45,GUSTAVO A. MADERO,Vespertino,135_NT_GAM - VASCO DE QUIROGA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088385,Mujer,36-40,VENUSTIANO CARRANZA,Matutino,248_CO_VCA - FELIPE ÁNGELES,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088388,Mujer,21-25,MILPA ALTA,Matutino,180_SU_MIA - SAN JERÓNIMO MIACATLAN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088397,Mujer,31-35,CUAJIMALPA DE MORELOS,Matutino,158_PT_CUM - CONTADERO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088400,Hombre,46-50,GUSTAVO A. MADERO,Vespertino,206_NT_GAM - MARTÍN CARRERA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088409,Mujer,26-30,TLALPAN,Matutino,244_SP_TLP - CRISTINA PACHECO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-088412,Mujer,26-30,XOCHIMILCO,Matutino,033_SU_XOC - SANTIAGO TULYEHUALCO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-088421,Mujer,41-45,AZCAPOTZALCO,Único,156_NT_AZC - FARO AZCAPOTZALCO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
